FID,Field1,latitude,longitude,names
0,0,47.600000000000001,-122.299999999999997, Seattle
1,1,47.610100000000003,-122.201499999999996, Bellevue
2,2,47.673999999999999,-122.121499999999997, Redmond
3,3,47.622999999999998,-122.290000000000006, Amazon Inc.
4,4,47.627740000000003,-122.242000000000004,Bill Gates' House
5,5,47.655548000000003,-122.295000000000002,University of Washington
6,6,47.632300000000001,-122.344999999999999,Queen Anne
7,7,47.488300000000002,-121.946700000000007,Tiger Mountain State Forest
8,8,47.479700000000001,-122.207899999999995,Renton
9,9,47.380899999999997,-122.234800000000007,Kent
10,10,47.322299999999998,-122.312600000000003,Federal Way
11,11,47.680000000000000,-122.228999999999999,Lake Washington
12,12,47.608499999999999,-122.087800000000001,Lake Sammamish
13,13,47.450200000000002,-122.308800000000005,SeaTac Airport
14,14,47.585900000000002,-122.401399999999995,Alki Beach Park
15,15,47.625300000000003,-122.322199999999995,Capitol Hill
16,16,47.679200000000002,-122.385999999999996,Ballard
17,17,47.657299999999999,-122.405500000000004,Discovery Park
18,18,47.756000000000000,-122.345699999999994,Shoreline
19,19,47.758400000000002,-122.249700000000004,Kenmore
20,20,47.528300000000002,-122.099699999999999,Cougar Mountain Park